..\DataSets\DelayGraph_0.graphml,91,106,197,0.006999969482421875,1
..\DataSets\DelayGraph_1.graphml,91,106,197,0.006999969482421875,1
..\DataSets\DelayGraph_2.graphml,120,134,254,0.012000083923339844,3
..\DataSets\DelayGraph_3.graphml,868,1048,1916,0.5709998607635498,75
..\DataSets\DelayGraph_4.graphml,118,138,256,0.017999887466430664,5
..\DataSets\DelayGraph_5.graphml,483,579,1062,0.17799997329711914,40
..\DataSets\DelayGraph_6.graphml,275,327,602,0.05800008773803711,20
..\DataSets\DelayGraph_7.graphml,867,1123,1990,0.6770000457763672,0
..\DataSets\DelayGraph_8.graphml,867,1123,1990,0.7039999961853027,0
..\DataSets\DelayGraph_9.graphml,61,69,130,0.003999948501586914,6
..\DataSets\DelayGraph_10.graphml,644,849,1493,0.40199995040893555,0
..\DataSets\DelayGraph_11.graphml,426,517,943,0.12899994850158691,48
..\DataSets\DelayGraph_12.graphml,644,849,1493,0.3600001335144043,0
..\DataSets\DelayGraph_13.graphml,218,261,479,0.04200005531311035,24
..\DataSets\DelayGraph_14.graphml,638,795,1433,0.32700014114379883,12
..\DataSets\DelayGraph_15.graphml,120,134,254,0.011999845504760742,3
..\DataSets\DelayGraph_16.graphml,83,86,169,0.00800013542175293,0
..\DataSets\DelayGraph_17.graphml,816,1034,1850,0.5590000152587891,0
..\DataSets\DelayGraph_18.graphml,145,167,312,0.017999887466430664,5
..\DataSets\DelayGraph_19.graphml,145,167,312,0.018000125885009766,5
..\DataSets\DelayGraph_20.graphml,212,250,462,0.03400015830993652,22
..\DataSets\DelayGraph_21.graphml,834,1050,1884,0.5349998474121094,0
..\DataSets\DelayGraph_22.graphml,376,446,822,0.09400010108947754,44
..\DataSets\DelayGraph_23.graphml,212,250,462,0.031999826431274414,22
..\DataSets\DelayGraph_24.graphml,731,864,1595,0.32899999618530273,88
..\DataSets\DelayGraph_25.graphml,128,150,278,0.013000011444091797,11
..\DataSets\DelayGraph_26.graphml,855,1054,1909,0.5420000553131104,44
..\DataSets\DelayGraph_27.graphml,83,86,169,0.009999990463256836,0
